Season,Category,Circuit,Rider,Country,Constructor
2012,Moto3,Silverstone Circuit,Maverick Viñales,SPAIN,FTR Honda
2012,MotoGP,Circuit de Barcelona-Catalunya,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Circuit de Barcelona-Catalunya,Andrea Iannone,ITALY,Speed Up
2012,Moto3,Circuit de Barcelona-Catalunya,Maverick Viñales,SPAIN,FTR Honda
2012,MotoGP,Le Mans,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Le Mans,Thomas Luthi,SWITZERLAND,Suter
2012,Moto3,Le Mans,Louis Rossi,FRANCE,FTR Honda
2012,MotoGP,Estoril Circuit,Casey Stoner,AUSTRALIA,Honda
2012,Moto2,Estoril Circuit,Marc Marquez,SPAIN,Suter
2012,Moto3,Estoril Circuit,Sandro Cortese,GERMANY,KTM
2012,MotoGP,Circuito de Jerez - Angel Nieto,Casey Stoner,AUSTRALIA,Honda
2012,Moto2,Circuito de Jerez - Angel Nieto,Pol Espargaro,SPAIN,Kalex
2012,Moto3,Circuito de Jerez - Angel Nieto,Romano Fenati,ITALY,FTR Honda
2012,MotoGP,Losail International Circuit,Jorge Lorenzo,SPAIN,Yamaha
2012,Moto2,Losail International Circuit,Marc Marquez,SPAIN,Suter
2012,Moto3,Losail International Circuit,Maverick Viñales,SPAIN,FTR Honda
2011,125cc,Circuit Ricardo Tormo,Maverick Viñales,SPAIN,Aprilia
2011,MotoGP,Circuit Ricardo Tormo,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Circuit Ricardo Tormo,Michele Pirro,ITALY,Moriwaki
2011,125cc,Sepang International Circuit,Maverick Viñales,SPAIN,Aprilia
2011,Moto2,Sepang International Circuit,Thomas Luthi,SWITZERLAND,Suter
2011,125cc,Phillip Island,Sandro Cortese,GERMANY,Aprilia
2011,MotoGP,Phillip Island,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Phillip Island,Alex De Angelis,SAN MARINO,Motobi
2011,125cc,Twin Ring Motegi,Johann Zarco,FRANCE,Derbi
2011,MotoGP,Twin Ring Motegi,Dani Pedrosa,SPAIN,Honda
2011,Moto2,Twin Ring Motegi,Andrea Iannone,ITALY,Suter
2011,125cc,MotorLand Aragón,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,MotorLand Aragón,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,MotorLand Aragón,Marc Marquez,SPAIN,Suter
2011,125cc,Misano World Circuit Marco Simoncelli,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Misano World Circuit Marco Simoncelli,Jorge Lorenzo,SPAIN,Yamaha
2011,Moto2,Misano World Circuit Marco Simoncelli,Marc Marquez,SPAIN,Suter
2011,125cc,Indianapolis Motor Speedway,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Indianapolis Motor Speedway,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Indianapolis Motor Speedway,Marc Marquez,SPAIN,Suter
2011,125cc,Automotodrom Brno,Sandro Cortese,GERMANY,Aprilia
2011,MotoGP,Automotodrom Brno,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Automotodrom Brno,Andrea Iannone,ITALY,Suter
2011,MotoGP,Mazda Raceway,Casey Stoner,AUSTRALIA,Honda
2011,125cc,Sachsenring,Hector Faubel,SPAIN,Aprilia
2011,MotoGP,Sachsenring,Dani Pedrosa,SPAIN,Honda
2011,Moto2,Sachsenring,Marc Marquez,SPAIN,Suter
2011,125cc,Autodromo Internazionale del Mugello,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Autodromo Internazionale del Mugello,Jorge Lorenzo,SPAIN,Yamaha
2011,Moto2,Autodromo Internazionale del Mugello,Marc Marquez,SPAIN,Suter
2011,125cc,TT Circuit Assen,Maverick Viñales,SPAIN,Aprilia
2011,MotoGP,TT Circuit Assen,Ben Spies,UNITED STATES,Yamaha
2011,Moto2,TT Circuit Assen,Marc Marquez,SPAIN,Suter
2011,125cc,Silverstone Circuit,Jonas Folger,GERMANY,Aprilia
2011,MotoGP,Silverstone Circuit,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Silverstone Circuit,Stefan Bradl,GERMANY,Kalex
2011,125cc,Circuit de Barcelona-Catalunya,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Circuit de Barcelona-Catalunya,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Circuit de Barcelona-Catalunya,Stefan Bradl,GERMANY,Kalex
2011,125cc,Le Mans,Maverick Viñales,SPAIN,Aprilia
2011,MotoGP,Le Mans,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Le Mans,Marc Marquez,SPAIN,Suter
2011,125cc,Estoril Circuit,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Estoril Circuit,Dani Pedrosa,SPAIN,Honda
2011,Moto2,Estoril Circuit,Stefan Bradl,GERMANY,Kalex
2011,125cc,Circuito de Jerez - Angel Nieto,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Circuito de Jerez - Angel Nieto,Jorge Lorenzo,SPAIN,Yamaha
2011,Moto2,Circuito de Jerez - Angel Nieto,Andrea Iannone,ITALY,Suter
2011,125cc,Losail International Circuit,Nicolas Terol,SPAIN,Aprilia
2011,MotoGP,Losail International Circuit,Casey Stoner,AUSTRALIA,Honda
2011,Moto2,Losail International Circuit,Stefan Bradl,GERMANY,Kalex
2010,125cc,Circuit Ricardo Tormo,Bradley Smith,GREAT BRITAIN,Aprilia
2010,MotoGP,Circuit Ricardo Tormo,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Circuit Ricardo Tormo,Karel Abraham,CZECH REPUBLIC,FTR
2010,125cc,Estoril Circuit,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Estoril Circuit,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Estoril Circuit,Stefan Bradl,GERMANY,Suter
2010,125cc,Phillip Island,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Phillip Island,Casey Stoner,AUSTRALIA,Ducati
2010,Moto2,Phillip Island,Alex De Angelis,SAN MARINO,Motobi
2010,125cc,Sepang International Circuit,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Sepang International Circuit,Valentino Rossi,ITALY,Yamaha
2010,Moto2,Sepang International Circuit,Roberto Rolfo,ITALY,Suter
2010,125cc,Twin Ring Motegi,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Twin Ring Motegi,Casey Stoner,AUSTRALIA,Ducati
2010,Moto2,Twin Ring Motegi,Toni Elias,SPAIN,Moriwaki
2010,125cc,MotorLand Aragón,Pol Espargaro,SPAIN,Derbi
2010,MotoGP,MotorLand Aragón,Casey Stoner,AUSTRALIA,Ducati
2010,Moto2,MotorLand Aragón,Andrea Iannone,ITALY,Speed Up
2010,125cc,Misano World Circuit Marco Simoncelli,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Misano World Circuit Marco Simoncelli,Dani Pedrosa,SPAIN,Honda
